Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Pontifical Catholic University of Puerto Rico-Ponce,0,0,11355,7500,13095,5500,19995.17,14907,0.6496
Portland State University,0,1045,19843,18832,24568.5,14166,44977.8,29525.5,0.6117
Prairie View A & M University,18,845,16782,17438,29052,12980,44974.4,34372,0.4232
Pratt Institute-Main,26,1140,54582,23241,27000,12000,75159.24,59029,0.5572
Presbyterian College,25,1121,45130,18797,25000,9500,96598.95,84599,0.66
Princeton University,33,1495,55430,7500,6810,8375,89090.02,50686,0.0741
Providence College,26,1158,56184,27000,27000,14500,120179.81,110798,0.5979
Purdue University-Calumet Campus,0,975,16727,16000,22781,11760.5,46173.26,33145,0.6063
Purdue University-Main Campus,27,1211,23109,20500,23766,12000,87549.24,77728,0.6042
Purdue University-North Central Campus,20,954,13713,12285.5,26000,8250,56178.87,47378,0.7218
Queens University of Charlotte,24,1058,40930,18812.5,25000,10695,61685.15,45248.5,0.7686
Quincy University,23,1048,36948,14000,25000,10837,69617.4,61719.5,0.8859
Quinnipiac University,25,1102,53476,21852,26000,12000,118255.77,108100,0.6722
Radford University,20,980,19987,15000,21500,8750,82072.86,73931,0.7831
Ramapo College of New Jersey,23,1096,27781,19500,22193,12825,87457.04,79102,0.5526
Randolph-Macon College,24,1082,45842,19557,27000,8750,100119.41,92252.5,0.637
Reed College,31,1371,57701,15500,16098.5,8914,90869.88,69123.5,0.4853
Regent University,22,1067,26825,18500,26806.5,12500,44878.71,35970,0.8514
Regis College,21,954,47432,24500,27000,12000,68233.94,55309,0.7243
Regis University,24,1087,43058,20501,25000,18536,68787.79,53578.5,0.6986
Reinhardt University,22,1013,30734,9500,0,9500,81710.16,67316.5,0.514
Rensselaer Polytechnic Institute,29,1366,59470,27000,27835.5,12000,102722.37,94717.5,0.412
Rhode Island College,20,930,14858,15462,22300,10566.5,61954.74,52408,0.6915
Rhode Island School of Design,28,1239,59597,25000,26024.5,17500,92334.03,75194,0.2731
Rhodes College,29,1288,50659,22991,27000,9750,126222.05,100407,0.5764
Rice University,33,1454,52242,7727,8413,6125,91944.43,71258,0.1674
Rider University,22,1038,48163,22125,27000,10199.5,92647.08,81460,0.7187
Ringling College of Art and Design,0,0,54676,27000,27000,9500,83784.47,65362.5,0.7331
Rivier University,19,932,39525,21000,27000,12000,82144.28,77445,0.8928
Roanoke College,24,1086,48559,24000,27000,9500,101613.37,89451,0.7281
Robert Morris University,23,1041,38274,21500,27000,11937.5,74080.91,63178.5,0.8051
Robert Morris University Illinois,0,0,32074,14500,24487,10552,38626.98,27199,0.21
Roberts Wesleyan College,23,1046,38826,20432,23200,15000,64271.32,57714,0.726
Rochester Institute of Technology,28,1232,45772,24500,27000,19849.5,82498.77,72166,0.6016
Rockhurst University,26,1164,40582,14684,20162.5,9500,85877.41,73905.5,0.7543
Roger Williams University,0,0,48476,20670,27000,10460,115567.69,102439,0.8098
Rogers State University,20,950,17213,8250,19000,6500,38422.73,29974,0.5445
Rollins College,27,1199,56309,23000,27000,12000,74429.57,46391,0.5889
Roosevelt University,22,1035,43650,18144,24673,12500,56408.85,39566.5,0.7878
Rose-Hulman Institute of Technology,30,1310,55413,26000,27000,10467.5,105688.73,91307,0.5622
Rowan University,0,1120,26970,18500,21146,14000,81120.55,74007.5,0.5923
Rutgers University-Camden,0,1035,22048,19500,22250,13000,76131.15,59041,0.5859
Rutgers University-New Brunswick,0,1210,28011,19500,22250,13000,76131.15,59041,0.5951
Rutgers University-Newark,0,1059,22046,19500,22250,13000,76131.15,59041,0.5401
Sacred Heart University,0,0,50984,19500,25000,8398,108563.28,99091,0.7624
Saginaw Valley State University,21,990,17876,19000,27000,9936,61890.64,51643,0.7865
Saint Ambrose University,23,1050,38189,20500,26900,10435.5,82268.74,72155,0.9617
Saint Anselm College,25,1145,48016,27000,27000,8750,115142.41,101953,0.7365
Saint Augustine's University,15,749,31095,20250,37000,14250,39667.54,31823,0.6738
Saint Cloud State University,22,1010,17892,15348,23250,10627.5,72449.18,66431,0.8691
Saint Edward's University,24,1117,43046,21500,25000,12000,77844.45,54531.5,0.7853
Saint Francis University,23,1026,42492,26123,0,26076,79842.63,72643.5,0.7606
Saint John Fisher College,25,1095,39014,21500,25000,14000,82611.49,77096,0.6277
Saint Johns University,26,1155,46397,23150,27000,13453,110742.05,99495,0.7516
Saint Josephs College,22,998,37135,13576.5,27000,7500,79082.58,75145.5,0.6419
Saint Joseph's College of Maine,0,960,43119,15683.5,27000,5800.5,84110.28,77122,0.7778
Saint Joseph's College-New York,23,1054,25290,19500,22350,14250,75509.05,66404,0.7538
Saint Joseph's University,24,1110,52779,20500,24250,11811,123938.82,109701.5,0.7873
Saint Leo University,0,0,31609,17500,26068,13079.5,49157.22,36785,0.7662
Saint Louis University,28,1237,52413,20500,25000,11000,103272.02,87461,0.6443
Saint Martin's University,22,1057,40458,19843,25000,14500,55215.19,43484,0.876
Saint Mary's College,26,1141,45920,26814,27000,8750,119024.16,103102,0.8568
Saint Mary's College of California,25,1115,56500,21500,25000,18750,87410.41,65861,0.6947
Saint Mary's University of Minnesota,23,1068,38470,18054,23000,12000,84470.77,75332,0.7485
Saint Michael's College,26,1173,48894,25000,27000,11250,110530.31,96675.5,0.7511
Saint Norbert College,25,1125,40204,23496,0,23250,104626.75,91780.5,0.8194
Saint Peter's University,19,913,40921,17500,25000,11801,57869.74,42545,0.5408
Saint Vincent College,23,1035,41591,25000,27000,10375,87118.24,80131,0.6875
Saint Xavier University,22,1010,35284,19150,25000,11250,65314.47,53937,0.5054
Salem State University,22,986,20601,19415,25428,12000,63800.47,51386,0.6929
Salisbury University,24,1145,20916,16250,20443,8250,94182.53,87919.5,0.5494
Salve Regina University,25,1109,48219,26303.5,27000,8750,110031.28,100931,0.6706
Sam Houston State University,21,999,19173,16490,22224,10500,60978.76,47405.5,0.6499
Samford University,26,1153,38835,20000,23236,11250,92968.08,77481,0.7697
San Diego State University,24,1090,20252,14495,16460,11004.5,57515.91,37534,0.3121
San Francisco State University,22,998,22267,15000,17775,12000,46467.57,29962,0.6379
San Jose State University,22,1030,21160,14000,16251,11000,43366.3,27853.5,0.6347
Santa Clara University,29,1294,57213,19500,20500,15291,120161.97,100259,0.5122
Sarah Lawrence College,0,0,62636,13126,14812,6375,90005.24,65944,0.6166
Savannah College of Art and Design,24,1078,49179,21521.5,27000,9500,95838.42,78907,0.6547
Savannah State University,18,847,15531,17126,32887,14000,42652.55,31664,0.8299
School of the Art Institute of Chicago,23,1065,55551,19503,25000,12250,65019.84,42495.5,0.7184
Schreiner University,22,995,33631,14250,25200,9500,57428.47,39382,0.9262
Seattle Pacific University,26,1145,45125,20981.5,25000,11834,93870.01,81735,0.7214
Seattle University,27,1175,50610,24000,25334,11000,78227.76,59408,0.7323
Seton Hall University,25,1121,46869,19500,25000,11000,87326.57,69730,0.7916
Seton Hill University,23,1032,40497,22131,27000,11250,65432.14,56664,0.652
Sewanee-The University of the South,28,1248,46530,16000,19500,5500,110350.36,81758,0.6027
Shaw University,0,0,27079,15250,39748,10129,33268.01,25825,0.5449
Shenandoah University,23,1016,41369,20000,25000,9500,80643.74,71304,0.8456
Shepherd University,22,1007,14846,14000,23149,9250,67931.47,59289.5,0.8102
Shippensburg University of Pennsylvania,20,980,20840,18000,26000,8750,81056.67,75275.5,0.8341
Shorter University,21,954,30642,25250,27475,23290.5,61885.8,48847,0.6807
Siena College,25,1122,45452,23000,26974,8750,100650.73,93663,0.6805
Siena Heights University,21,990,31980,15328,18750,14107,58057.31,48925,0.6765
Simmons College,26,1149,51093,25000,26000,10750,81764.35,67781,0.4897
Simpson College,24,1105,40186,22500,27000,10985.5,77864.13,71500,0.8802
Simpson University,22,1030,33889,16666,16676,12052,58109,44207,0.555
Skidmore College,28,1247,58562,19500,20500,10991.5,103433.96,79221,0.3505
Slippery Rock University of Pennsylvania,21,1002,21303,20500,25719.5,9500,69273.37,64717,0.6698
Smith College,0,0,57913,19000,19500,8000,87888.48,68708.5,0.4308
Sonoma State University,22,1006,23675,14592,18750,11502,64411.44,46028,0.8186
South Carolina State University,18,851,25265,21750,37000,12250,37786.96,28809,0.5079
South Dakota School of Mines and Technology,26,1183,20234,14875,27100,8774,66137.5,57505.5,0.8608
South Dakota State University,23,1050,18547,15269,25000,9250,68399.37,63089,0.919
Southeast Missouri State University,23,1049,17093,14000,22459,9500,57993.21,47781,0.8546
Southeastern Louisiana University,22,1030,15729,11670,21465,8258.5,46591.28,32109.5,0.448
Southeastern Oklahoma State University,20,950,14050,9860,16443,7271,38375.95,28378,0.7992
Southeastern University,20,955,30333,14250,24250,11000,65179.01,55937,0.5932
Southern Adventist University,23,1050,29085,18554,26266,12500,70132.24,57374,0.3826
Southern Arkansas University Main Campus,21,989,17738,10500,17216.5,8250,37692.78,27662,0.6081
Southern Connecticut State University,20,921,18628,17404,24449.5,11000,73298.65,62972.5,0.7542
Southern Illinois University-Carbondale,22,1032,24234,15245,22500,10500,59660.34,47485,0.7887
Southern Illinois University-Edwardsville,23,1050,21137,14317,22500,9500,64774.34,56221,0.8419
Southern Methodist University,29,1302,57947,19000,22500,11000,95228.81,63543.5,0.507
Southern New Hampshire University,0,965,39677,7688,22500,6498,70725.24,56925,0.7866
Southern Oregon University,0,1020,18285,18166,22804,15146,54285.08,40096.5,0.7304
Southern Polytechnic State University,24,1123,16546,14750,26438,10224,56655.45,44584,0.7798
Southern University and A & M College,19,890,17928,24250,32075,17250,33242.29,23636,0.359
Southern University at New Orleans,17,808,10889,18442,27269,15750,19767.87,16097,0.4888
Southern Utah University,23,1066,18042,8250,13250,5875,45460.22,30660.5,0.5709
Southern Wesleyan University,19,916,31054,23375,30575,14750,53760.74,43811,0.937
Southwest Baptist University,23,1062,28948,14250,21220,9500,55704.96,45779.5,0.9022
Southwest Minnesota State University,22,1010,19109,15750,24200,10514,62197.6,56016,0.6546
Southwestern Assemblies of God University,0,0,29652,16970,26500,9500,53136.81,40330,0.3486
Southwestern College,23,1036,36472,19192,25350,13500,61741.56,52868,0.8968
Southwestern Oklahoma State University,21,990,16660,10500,16759,8097,45688.93,35512,0.9026
Southwestern University,26,1168,46789,20644,26564.5,9500,106019.52,95160,0.5217
Spalding University,20,952,31021,19118,26980.5,12250,45742.79,33377.5,0.8108
Spelman College,22,1024,41635,25500,27000,17500,71841.55,54315,0.3802
Spring Arbor University,23,1069,32709,20729,24850,18615,62085.86,55009.5,0.6505
Spring Hill College,24,1100,43325,20500,27000,11500,78659.44,58994,0.4627
Springfield College,23,1029,44829,20500,25000,14750,66949.79,50430,0.6992
St Bonaventure University,24,1075,41265,21501,27000,12000,95765.22,85354,0.7999
St Catherine University,23,1051,43356,22697,28500,14750,66972.65,52083.5,0.6089
St Francis College,0,940,24739,15347.5,24000,9500,49748.71,34186,0.6433
St John's University-New York,24,1093,50233,20000,25920,11500,65214.94,49731,0.5316
St Lawrence University,0,0,57423,26000,27000,10461,104815.97,90213,0.4643
St Mary's College of Maryland,28,1221,29174,19130,21671.5,9500,107725.72,103581.5,0.7204
St Mary's University,23,1050,35160,20000,26685,9750,60439.11,44525.5,0.5823
St Olaf College,29,1290,50550,25000,26531,12000,118248.44,98006,0.5919
St Thomas Aquinas College,19,931,36823,15000,23200,14500,91067.71,80256,0.8224
St Thomas University,19,904,37090,16500,22747.5,13165.5,50272.73,35584,0.4567
Stanford University,33,1466,58408,11500,12224,9083,83177.59,53935.5,0.0569
State University of New York at New Paltz,25,1129,20428,17500,20500,11000,73261.15,59391,0.4359
Stephen F Austin State University,22,998,21909,16074,25000,10750,60300.43,45665,0.5687
Stetson University,26,1168,49939,18050,27000,9500,83620.71,64137,0.5925
Stevens Institute of Technology,30,1305,59479,26500,27000,25000,99419.73,87408,0.3816
Stevenson University,21,990,38785,18197.5,25000,9997.5,83267.03,77520,0.5959
Stonehill College,25,1133,50677,26000,27000,5500,123576.33,116545,0.7091
Stony Brook University,28,1253,20611,17000,20173,12000,61963.11,42408,0.3948
Suffolk University,23,1014,45280,21032,27000,9500,79950.51,64594,0.825
Sul Ross State University,18,865,17254,10250,16728,10000,34295.12,23682,0.522
SUNY at Albany,24,1102,21249,16750,21500,10205,74245.98,60558,0.5545
SUNY at Binghamton,29,1297,21966,17750,20500,11625,75078.96,57865.5,0.4287
SUNY at Fredonia,24,1056,20802,19000,24250,10250,79864.05,75269.5,0.5154
SUNY at Purchase College,24,1082,22381,19750,23250,9500,78438.02,63153,0.3319
SUNY College at Brockport,24,1069,19511,17750,21500,17304,68780.73,62559,0.4774
SUNY College at Cortland,23,1058,21840,18750,21654,10500.5,82229.52,77274.5,0.4683
SUNY College at Geneseo,28,1274,21004,18500,20500,13200,89014.11,84076,0.4566
SUNY College at Old Westbury,21,998,15888,13821,17000,12469,44887.77,34319,0.5804
SUNY College at Oswego,24,1110,21222,18750,23000,10900,70031.26,63043,0.4863
SUNY College at Plattsburgh,22,1026,20371,18750,22475.5,15500,74172.36,65821,0.4564
SUNY College at Potsdam,0,0,19829,19500,26000,10277,67792.03,61089,0.6837
SUNY College of Environmental Science and Forestry,25,1155,22550,17124,20000,11500,76789.5,67355,0.5052
SUNY Empire State College,0,0,19755,16244.5,25000,14250,41035.38,32531.5,0.8053
SUNY Institute of Technology at Utica-Rome,24,1053,19843,13193.5,18000,8613.5,53549.49,40836.5,0.4754
SUNY Maritime College,23,1056,21493,21980,27000,12500,83846.41,79477.5,0.6396
SUNY Oneonta,24,1097,20762,20500,22870.5,11667,79989.41,72432,0.5073
Susquehanna University,25,1129,49025,21000,25000,6225,101249.96,89238,0.7233
Swarthmore College,33,1442,58481,17718.5,19000,10051,104516.71,89473,0.1432
Syracuse University,26,1158,55600,27000,27000,16750,98994.29,80005.5,0.4949
Tarleton State University,21,984,17709,13118,21500,11000,54294.39,42847,0.5682
Taylor University,28,1214,38845,20500,24712.5,11875,82840.55,71404,0.876
Temple University,25,1121,27247,21700,25799,13751,70311.21,56155,0.6387
Tennessee Technological University,23,1071,19900,11000,15625,7000,58081.46,45109,0.9316
Tennessee Wesleyan College,22,1006,28119,14500,21000,8750,57290.57,45726.5,0.713
Texas A & M International University,18,892,15272,11250,14671.5,8250,31619.88,23615.5,0.4785
Texas A & M University-College Station,26,1182,20819,16566.5,19253,9000,83346.84,71288,0.6947
Texas A & M University-Commerce,21,987,18487,15000,21228,11015,42985.83,32165,0.6818
Texas A & M University-Corpus Christi,20,960,17782,13500,22750,9500,51268.6,36327,0.9258
Texas A & M University-Kingsville,19,895,19721,14695,20899,9966,38697.62,26861.5,0.881
Texas Christian University,27,1206,48189,19500,22500,9500,103263.14,81852.5,0.4739
Texas Lutheran University,23,1041,35480,17750,27305,9750,81310.81,68816.5,0.5087
Texas Southern University,17,832,22311,17311.5,33763,14250,31016.12,22626,0.4503
Texas State University,23,1045,19721,15750,21714.5,9660,63447.41,48876,0.7508
Texas Tech University,25,1116,20900,17750,23246.5,10763,82825.99,69477,0.663
Texas Wesleyan University,21,997,30696,19500,26000,13000,50520,36026,0.2992
Texas Woman's University,20,953,16345,14385,20923,10191,50453.77,36226,0.8603
The College of Idaho,24,1070,34555,20000,26312.5,10845.5,82263.55,65590,0.905
The College of New Jersey,0,1235,28943,21500,23196,12250,103967.08,96654.5,0.4311
The College of New Rochelle,24,986,43273,16000,21525,11490,25320.42,18962,0.5695
The College of Saint Rose,0,0,40267,19808.5,25000,11250,82821.55,78174,0.7751
The College of Saint Scholastica,24,1085,40685,19310.5,23000,12500,71064.65,63879,0.7265
The College of Wooster,28,1231,51300,20490,25500,8473,99900.84,88881.5,0.5633
The Evergreen State College,24,1081,21433,14830,17594,11834,46014.99,26490,0.9709
The Master's College and Seminary,25,1104,40815,15750,20500,12708,77302.02,62514,0.6137
The New School,25,1131,57203,20500,25494.5,11750,73764.91,48618,0.6659
The Richard Stockton College of New Jersey,22,1068,26086,18750,21500,12500,74404.92,64554.5,0.6211
The Sage Colleges,0,0,40437,17750,22408.5,10750,61574.98,51423,0.5664
The University of Alabama,26,1171,26717,17750,24000,11000,74131.14,58976,0.5655
The University of Findlay,24,1083,38941,18770,23250,9500,75626.94,71474,0.6832
The University of Montana,24,1090,17440,15259.5,24776.5,11326.5,53798.72,36634,0.9423
The University of Tampa,24,1075,37714,17550.5,25975,8580,81805.23,66421,0.5221
The University of Tennessee-Chattanooga,23,1069,19192,11420.5,20500,7112.5,56874.59,43600,0.7757
The University of Tennessee-Knoxville,27,1199,24746,15250,20338.5,9613.5,72817.34,55229,0.7249
The University of Tennessee-Martin,23,1050,16227,15134.5,23750,9500,52149.54,41497,0.7668
The University of Texas at Arlington,23,1077,21420,12834,19608,9738,51136.11,36358,0.5998
The University of Texas at Austin,28,1262,25176,20500,22165,14000,79614.32,62086,0.4019
The University of Texas at Dallas,28,1262,22381,15080.5,19500,10250,54836.23,39445.5,0.5857
The University of Texas at El Paso,20,923,15272,12500,18250,10750,31959.81,22907,0.9981
The University of Texas at San Antonio,23,1050,18936,16490,23723,10749,53600.77,38470,0.7327
The University of Texas at Tyler,23,1064,19366,13000,18486,9225,48054.63,34405,0.8203
The University of Texas of the Permian Basin,21,1008,14292,9015.5,13750,7201.5,40708.66,29706,0.8401
The University of Texas-Pan American,20,937,11601,9621,12993.5,7250,29912.15,21957,0.6217
The University of the Arts,22,1010,52401,25394,27000,11500,93270.02,81397,0.7539
The University of Virginia's College at Wise,20,949,18365,12611,20700,8891,56884.88,48359.5,0.7449
The University of West Florida,24,1062,18158,12500,18334,11000,47671.85,34467,0.4808
Thiel College,21,967,39573,20500,28000,10900,65321.99,57911,0.655
Thomas More College,23,1033,36843,19500,27000,11500,71968.41,66017.5,0.8775
Tiffin University,21,969,34771,12033,26564.5,10465,64758.72,56315,0.3856
Touro College,0,0,23347,12000,12500,11000,25826.64,16612,0.5866
Towson University,23,1078,21596,15750,19000,9250,82801.58,71279.5,0.6034
Transylvania University,27,1213,41374,25000,27000,8000,96629.61,82262,0.9615
Trevecca Nazarene University,23,1049,30820,16250,18750,16087.5,65129.33,58888,0.772
Trine University,24,1095,40679,16950,26063,8750,64548.72,59270,0.7157
Trinity Christian College,23,1053,33611,21411,25333,16664,78627.29,70413,0.9022
Trinity College,27,1240,59865,19275,21500,8000,117428.63,87726,0.3178
Trinity University,29,1270,46274,18500,21630,9500,112397.83,101012.5,0.6393
Trinity Washington University,0,0,30144,16375,30375,10665,44160.42,35959,0.5231
Troy University,21,990,16877,17750,26000,15000,38308.15,27401,0.6821
Truman State University,28,1243,19689,17500,21894,9545.5,86263.68,80910,0.7219
Tufts University,32,1428,58752,17300,18125,12250,86991.55,64738,0.1884
Tulane University of Louisiana,31,1341,58904,20001,27000,10500,78916.25,45863.5,0.2643
Tusculum College,21,961,32783,20070,27911,9687.5,50490.79,41744.5,0.7225
Tuskegee University,20,937,32853,23687.5,33250,14750,51894.99,39069,0.3511
Union College,30,1313,58023,24334,26277.5,7667,113355.39,98739.5,0.3728
Union University,26,1174,40415,20750,23438,12000,65098.48,53200.5,0.7412
Universidad Adventista de las Antillas,0,0,13059,7075,15000,3250,20654.97,17122.5,0.8694
Universidad del Sagrado Corazon,0,0,11651,10500,16750,7000,23160.66,17577,0.3186
Universidad Politecnica de Puerto Rico,0,0,19369,11000,16648,9166,26910.07,21569,0.8889
University at Buffalo,26,1158,20885,15200,20100,9250,68669.08,56636,0.5652
University of Akron Main Campus,22,1016,21338,15000,26812,10261.5,53437.74,42489,0.9649
University of Alabama at Birmingham,25,1146,19990,16250,23117,11886,49894.65,34909,0.8673
University of Alabama in Huntsville,26,1180,20306,16500,24738,10500,54155.4,39766,0.8062
University of Arizona,24,1106,23905,13500,19000,9279,68621.67,46758,0.7692
University of Arkansas,26,1156,19917,14990,21524,9887,68151.74,52612,0.5858
University of Arkansas at Little Rock,24,1077,19894,14250,23000,10500,37463.78,26332.5,0.5274
University of Arkansas at Pine Bluff,18,842,15414,13698.5,27954.5,9500,30961.41,23857,0.277
University of Arkansas-Fort Smith,22,1028,14335,8240,17432,5500,34268.8,25892,0.5736
University of Baltimore,0,940,24835,16000,20500,12500,41904.98,31331,0.7295
University of Bridgeport,20,923,45640,17500,28250,10500,48341.16,36730,0.6385
University of California-Berkeley,30,1350,32715,14480,14667,14147,60121.12,39266,0.18
University of California-Davis,26,1192,31803,13626.5,15000,11461,59783.54,41894,0.4521
University of California-Irvine,24,1122,28980,15500,17414,10788.5,67260.78,50385,0.4239
University of California-Los Angeles,28,1289,31474,15200,15900,13244.5,54271.79,34557.5,0.2199
University of California-Merced,21,1010,30637,14500,19559,8000,59783.54,41894,0.7551
University of California-Riverside,23,1078,29787,17000,19500,10379,57708.66,43078.5,0.62
University of California-San Diego,28,1276,29751,18463,19266,15116,58621.21,41248,0.375
University of California-Santa Barbara,27,1212,31913,15000,18057,12625,70987.15,51240,0.4444
University of California-Santa Cruz,23,1087,33208,16500,19737.5,11000,73778.36,58508,0.5991
University of Central Arkansas,23,1070,17899,11864,21617,8912,53694.68,39480,0.8997
University of Central Florida,26,1175,19815,15000,18500,9750,54803.88,38367.5,0.4894
University of Central Missouri,21,990,18355,15296,23450,9500,64575.93,56271,0.8083
University of Central Oklahoma,22,1030,16684,12500,22250,9001,49363.75,36756.5,0.8398
University of Charleston,22,991,32147,10250,19375,6250,64873.01,56456,0.6905
University of Chicago,34,1504,62425,17610,18625,15133.5,75760.31,53224,0.0881
University of Cincinnati-Main Campus,25,1141,25799,15000,23947.5,9500,64379.94,50863,0.7325
University of Colorado Boulder,27,1192,27854,15000,19500,9500,96924.8,73526,0.8771
University of Colorado Colorado Springs,23,1068,16707,12500,21000,8250,61852.58,48420,0.91
University of Colorado Denver,23,1073,18822,16750,22995,11368,51853.53,36176,0.7587
University of Connecticut,28,1233,25786,18983,21500,11600,94914.09,86510,0.5366
University of Connecticut-Stamford,21,1017,13028,18983,21500,11600,94914.09,86510,0.4107
University of Connecticut-Tri-Campus,22,1015,13099,18983,21500,11600,94914.09,86510,0.4207
University of Dallas,27,1216,47437,17625,25640.5,8750,102838.39,86001,0.9011
University of Dayton,27,1181,46250,23250,26863,11384,122480.57,108917.5,0.5297
University of Delaware,27,1178,21748,21000,24126.5,9458.5,111960.94,102027,0.6468
University of Denver,28,1231,53614,20832,24500,11753,86015.75,55997.5,0.7673
University of Detroit Mercy,25,1142,48027,19300,25000,12673,58134.97,44772,0.6147
University of Dubuque,20,926,34206,17114,26946,10500,64765.21,57825,0.7742
University of Evansville,26,1147,42674,23638,26000,10250,80378.71,73591.5,0.8409
University of Florida,29,1272,20456,14546,15132.5,10250,64142.77,45776.5,0.4655
University of Georgia,28,1247,21162,16831,18700,14500,84425.2,69003,0.5608
University of Great Falls,0,0,31310,13554,25000,9750,44289.66,31885,0.7272
University of Hartford,23,1053,47368,19944,27000,9500,95513.07,85192,0.6173
University of Hawaii at Hilo,21,967,15284,11293,19264,8028.5,46268.64,29592,0.752
University of Hawaii at Manoa,24,1087,18491,13750,19509,8250,54876.85,39485,0.8009
University of Hawaii-West Oahu,19,891,9874,8045,12500,5500,28664.54,21363,0.7643
University of Houston,25,1136,22215,14878,20426,10000,48647.14,33211,0.5841
University of Houston-Downtown,19,894,18879,13000,21000,11461,32529.26,24928.5,0.9509
University of Idaho,23,1070,19700,18550,25000,12100,64677.72,51484,0.6565
University of Illinois at Chicago,24,1092,25248,14750,18532.5,8750,55560.29,41721,0.714
University of Illinois at Springfield,24,1085,21385,15000,19498,11129,54554.28,42542.5,0.5977
University of Illinois at Urbana-Champaign,29,1303,28564,19399,20950,11566,93333.2,85462,0.6239
University of Indianapolis,22,1018,36158,19200,27450,10321.5,68430.95,58141,0.8443
University of Iowa,27,1208,21832,18692.5,22500,12000,83051.2,74267,0.8023
University of Kansas,25,1145,21971,14799,20114,9427,85281.02,72937,0.9228
University of Kentucky,25,1140,22420,14000,20500,9250,71446.07,57564,0.6861
University of La Verne,23,1035,45305,22218,25000,20832,54488.73,39519,0.3895
University of Louisiana at Lafayette,23,1070,15342,13000,20898,9500,50339.7,35091,0.593
University of Louisiana at Monroe,23,1050,14925,12708,21207,10951,43678.01,28606,0.7724
University of Louisville,25,1142,21922,13300,21500,9250,58745.22,45597.5,0.7112
University of Maine,24,1085,22461,19200.5,27000,11000,68984.85,60423,0.8106
University of Maine at Farmington,0,0,20415,21250,27000,9500,64481.77,58522,0.837
University of Mary,23,1046,22936,16435,23152,11961.5,65229.89,59522,0.8307
University of Mary Hardin-Baylor,24,1069,35000,16500,26784,9500,68845.18,57382,0.8468
University of Mary Washington,24,1110,21862,16672,22150,8750,100623.97,94155.5,0.8096
University of Maryland Eastern Shore,18,871,20587,18071,27500,11763,51710.12,40227,0.5502
University of Maryland-Baltimore County,27,1209,22024,17500,21500,11750,73930.94,59891,0.6315
University of Maryland-College Park,0,1310,22933,17500,19500,14000,91124.17,75194,0.4699
University of Massachusetts-Amherst,27,1209,25665,21500,24250,12250,85910.2,75270.5,0.6294
University of Massachusetts-Boston,0,1015,19763,16362,0,16357,47234.62,33287,0.7141
University of Massachusetts-Dartmouth,23,1061,23763,19500,25921,14100,77381.8,69531.5,0.7213
University of Massachusetts-Lowell,25,1132,22861,19500,25000,12000,70116.7,61757,0.6397
University of Memphis,22,1031,20899,18938,26393.5,13774.5,45004.14,29727,0.6841
University of Miami,30,1332,57700,18750,21250,12250,86177.73,59417,0.4044
University of Michigan-Ann Arbor,30,1352,25760,21000,22000,15000,87306.5,69630,0.3326
University of Michigan-Dearborn,25,1125,15831,18750,25000,11509,53031.88,38952,0.6284
University of Michigan-Flint,21,993,16731,21176,28376.5,13848,53715.44,38562,0.7809
University of Minnesota-Crookston,22,1004,21549,14370,20000,9500,59974.63,56026,0.6916
University of Minnesota-Duluth,24,1109,22796,18925,25000,10250,87902.82,83294.5,0.7822
University of Minnesota-Morris,26,1168,22853,14768,20000,9313,76388.28,71476,0.5764
University of Minnesota-Twin Cities,28,1270,24278,18822,21500,12750,80969.01,72908.5,0.4442
University of Mississippi,24,1100,21526,15750,21500,11785,68842.41,46826.5,0.5936
University of Missouri-Columbia,26,1165,22387,17500,22500,10500,89631.5,80508.5,0.7861
University of Missouri-Kansas City,24,1105,23437,15750,21187,11000,57316.66,40642,0.33
University of Missouri-St Louis,24,1090,22474,18223,22000,14000,54750.66,37821,0.7419
University of Mobile,23,1058,30108,22500,27000,15750,51471.07,37643,0.7125
University of Montevallo,23,1070,20209,15872,23400,12400,58419.08,48019,0.8729
University of Mount Union,23,1050,37502,23557.5,27000,9772.5,78986.18,74701.5,0.712
University of Nebraska at Kearney,23,1049,19212,13496.5,21697,9500,62130.67,55165.5,0.8486
University of Nebraska at Omaha,23,1070,16860,13631,21000,9200,67569.73,57671,0.7078
University of Nebraska-Lincoln,25,1147,21024,15799,22500,9002,81338.55,72140.5,0.6404
University of Nevada-Las Vegas,22,1003,17478,12608,19491,10342,51263.5,36398.5,0.8512
University of Nevada-Reno,24,1081,21398,12000,18743.5,8120,61238.62,45534,0.8396
University of New England,24,1057,47931,20955,27000,18000,80354.33,74608,0.8584
University of New Hampshire-Main Campus,0,1100,29520,23128.5,27000,11000,96733.64,88997,0.7784
University of New Haven,23,1034,48280,20500,27000,10500,86441.39,78636,0.7441
University of New Mexico-Main Campus,22,1038,16822,14164.5,20500,11432,39057.95,26437,0.6458
University of New Orleans,23,1072,16212,11750,17821,8500,40387.97,27630.5,0.5036
University of North Alabama,22,1028,15058,12542,21750,8735,52611.8,40030,0.8092
University of North Carolina at Asheville,26,1190,17468,15772.5,20508,7629,60962.62,48654,0.6403
University of North Carolina at Chapel Hill,30,1313,23069,15000,15906,11666.5,80815.19,64969.5,0.2759
