Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
College of Staten Island CUNY,0,1000,14298,9000,16872,7500,40286.29,27650,0.9975
College of the Holy Cross,0,0,56706,27000,27000,10900,125254.65,108458,0.3297
College of the Ozarks,23,1050,26813,0,0,0,33369.07,32674.5,0.1301
College of William and Mary,30,1358,25938,19500,20785.5,12000,112915,98940,0.3321
Colorado Christian University,0,0,36956,9500,25351,7336,67437.7,54471,0.9764
Colorado College,30,1323,54200,17255,18049.5,12000,100140.33,73379,0.2228
Colorado Mesa University,21,972,18077,11250,22000,9500,53915.8,40837,0.8212
Colorado School of Mines,29,1298,29091,22625,26025,11700,83465.13,74554,0.3743
Colorado State University-Fort Collins,25,1127,21823,16707.5,21250,9750,81929.11,69107,0.7743
Colorado State University-Pueblo,21,967,18007,12061,21199,8250,50889.72,38635,0.9434
Columbia College-Chicago,0,0,37546,20000,26000,11000,75378.25,58289.5,0.9053
Columbia University in the City of New York,33,1471,61540,17125,19435,14500,59265.49,30939,0.0742
Columbus College of Art and Design,22,1035,39478,26945,27000,12000,75000.48,63255,0.8551
Columbus State University,21,984,17029,14750,24594,11227,48872.34,35427.5,0.5543
Concord University,21,980,17146,11028,21500,9065,47421.17,37164,0.457
Concordia College at Moorhead,25,1144,39803,24500,27000,8750,91300.58,84068,0.7998
Concordia University-Chicago,22,1030,34774,15750,25000,9500,69992.09,61882,0.5441
Concordia University-Irvine,23,1020,41233,18112,21500,12500,86157.18,71434,0.9119
Concordia University-Nebraska,24,1091,33226,18225,25000,8750,77896.81,68665,0.7152
Concordia University-Portland,21,993,35963,17500,26740,12000,64443.3,53453,0.5592
Concordia University-Saint Paul,21,991,40267,16667,23000,11225,66177.34,57993.5,0.5239
Concordia University-Texas,23,1035,37394,15224,25500,9836.5,74551.81,58229.5,0.4685
Concordia University-Wisconsin,23,1049,36660,14250,25153,11966,64997.18,56964,0.6992
Connecticut College,0,0,58690,20712.5,24050,9550,108711.44,94160,0.3585
Coppin State University,0,880,16147,12250,19031,10000,36493.98,29366,0.355
Cornell College,26,1182,46135,25015,27000,9500,90358.36,82517,0.6411
Cornell University,32,1422,59572,11500,12000,9496,97334.41,81957,0.1556
